Dates,Count,GridPower[W],In12Power[W],In1Power[W],In2Power[W],GridPower_max[W],In1Power_max[W],In2Power_max[W],GridPower_std[W],In1Power_std[W],In2Power_std[W]
2022-10-12 11:57:00,7,7078.6,7100.0,3600.0,3500.0,7080.0,3600.0,3500.0,3.5,0.0,0.0
2022-10-12 12:12:00,19,6591.1,6600.0,3344.7,3255.3,6620.0,3360.0,3270.0,16.5,8.8,11.4
2022-10-12 12:13:00,60,6728.8,6749.2,3420.8,3328.3,6850.0,3480.0,3390.0,66.0,37.4,35.2
2022-10-12 12:14:00,60,6923.3,6945.2,3519.7,3425.5,6970.0,3550.0,3450.0,34.8,19.9,19.6
2022-10-12 12:15:00,60,6929.5,6945.7,3519.5,3426.2,6970.0,3540.0,3450.0,29.6,15.3,16.5
2022-10-12 12:16:00,60,6798.3,6812.7,3455.3,3357.3,6870.0,3490.0,3390.0,49.1,26.1,25.0
2022-10-12 12:17:00,60,6604.7,6612.0,3355.3,3256.7,6740.0,3420.0,3310.0,63.3,32.4,32.1
2022-10-12 12:18:00,60,6374.8,6382.8,3241.2,3141.7,6510.0,3300.0,3200.0,69.1,34.4,35.9
2022-10-12 12:19:00,60,6152.8,6155.8,3128.0,3027.8,6260.0,3180.0,3080.0,60.4,31.7,28.5
2022-10-12 12:20:00,60,5988.5,5989.2,3042.3,2946.8,6050.0,3080.0,2980.0,35.0,17.2,17.3
2022-10-12 12:21:00,60,5924.5,5928.3,3008.5,2919.8,5980.0,3020.0,2930.0,10.1,6.3,5.0
2022-10-12 12:22:00,60,5941.2,5944.0,3013.8,2930.2,5950.0,3020.0,2940.0,8.8,5.8,7.4
2022-10-12 12:23:00,60,5905.3,5907.8,2994.7,2913.2,5950.0,3020.0,2940.0,32.1,18.4,15.5
2022-10-12 12:24:00,60,5809.2,5803.8,2942.5,2861.3,5860.0,2970.0,2890.0,23.8,12.9,13.2
2022-10-12 12:25:00,60,5358.0,5338.3,2712.3,2626.0,5770.0,2920.0,2840.0,518.6,276.4,265.9
2022-10-12 12:26:00,60,4416.5,4375.3,2209.8,2165.5,5600.0,2810.0,2810.0,1324.7,665.8,702.3
2022-10-12 12:27:00,60,5623.5,5613.8,2829.3,2784.5,5680.0,2870.0,2800.0,31.9,24.0,9.7
2022-10-12 12:28:00,60,5726.8,5719.7,2897.8,2821.8,5800.0,2940.0,2860.0,35.4,17.8,18.8
2022-10-12 12:29:00,60,5872.3,5871.8,2975.5,2896.3,5920.0,3000.0,2920.0,39.7,21.9,20.6
2022-10-12 12:30:00,60,5913.8,5912.3,2993.0,2919.3,6050.0,3060.0,2990.0,81.2,40.2,41.5
