Dates,latitude,longitude,u10,v10,t2m,valid_time
2025-02-01 00:00:00+00:00,67.6,26.4,0.52842605,-1.3536177,266.11438,2025-02-01 00:00:00
2025-02-01 00:00:00+00:00,67.6,26.8,0.36287582,-1.0687056,264.91385,2025-02-01 00:00:00
2025-02-01 00:00:00+00:00,67.2,26.4,0.7778157,-1.1251554,266.15338,2025-02-01 00:00:00
2025-02-01 00:00:00+00:00,67.2,26.8,0.67431533,-0.8734083,264.8452,2025-02-01 00:00:00
2025-02-02 00:00:00+00:00,67.6,26.4,-3.1196404,-1.8384361,270.57745,2025-02-02 00:00:00
2025-02-02 00:00:00+00:00,67.6,26.8,-3.1874866,-1.8070107,270.51312,2025-02-02 00:00:00
2025-02-02 00:00:00+00:00,67.2,26.4,-3.0818577,-1.9647522,270.73346,2025-02-02 00:00:00
2025-02-02 00:00:00+00:00,67.2,26.8,-3.1151009,-1.9240189,270.7629,2025-02-02 00:00:00
2025-02-03 00:00:00+00:00,67.6,26.4,-2.9970684,-0.52418476,253.69405,2025-02-03 00:00:00
2025-02-03 00:00:00+00:00,67.6,26.8,-3.0323734,-0.5501781,254.1226,2025-02-03 00:00:00
2025-02-03 00:00:00+00:00,67.2,26.4,-3.1846828,-0.7629848,254.44533,2025-02-03 00:00:00
2025-02-03 00:00:00+00:00,67.2,26.8,-3.1954174,-0.7919918,254.72441,2025-02-03 00:00:00
2025-02-04 00:00:00+00:00,67.6,26.4,-1.7063828,-0.86438084,243.36273,2025-02-04 00:00:00
2025-02-04 00:00:00+00:00,67.6,26.8,-1.3002014,-1.0526361,243.05905,2025-02-04 00:00:00
2025-02-04 00:00:00+00:00,67.2,26.4,-1.7111511,-1.0137568,244.2384,2025-02-04 00:00:00
2025-02-04 00:00:00+00:00,67.2,26.8,-1.3142853,-1.2790613,243.91699,2025-02-04 00:00:00
2025-02-05 00:00:00+00:00,67.6,26.4,-1.5821943,5.27332,256.4219,2025-02-05 00:00:00
2025-02-05 00:00:00+00:00,67.6,26.8,-1.5116034,5.2460604,255.95282,2025-02-05 00:00:00
2025-02-05 00:00:00+00:00,67.2,26.4,-1.6054144,5.1125536,256.65982,2025-02-05 00:00:00
2025-02-05 00:00:00+00:00,67.2,26.8,-1.5599165,5.019536,256.26022,2025-02-05 00:00:00
2025-02-06 00:00:00+00:00,67.6,26.4,4.637779,1.034552,267.73892,2025-02-06 00:00:00
2025-02-06 00:00:00+00:00,67.6,26.8,4.6971817,0.974131,268.22522,2025-02-06 00:00:00
2025-02-06 00:00:00+00:00,67.2,26.4,4.4173203,1.0624889,267.9154,2025-02-06 00:00:00
2025-02-06 00:00:00+00:00,67.2,26.8,4.47657,1.050795,268.44543,2025-02-06 00:00:00
2025-02-07 00:00:00+00:00,67.6,26.4,4.3591747,4.0115337,275.851,2025-02-07 00:00:00
2025-02-07 00:00:00+00:00,67.6,26.8,4.1656933,4.101675,275.4262,2025-02-07 00:00:00
2025-02-07 00:00:00+00:00,67.2,26.4,3.8597164,4.4077206,274.60358,2025-02-07 00:00:00
2025-02-07 00:00:00+00:00,67.2,26.8,3.8956356,4.4511547,274.19818,2025-02-07 00:00:00
2025-02-08 00:00:00+00:00,67.6,26.4,2.2403574,2.8487616,270.9194,2025-02-08 00:00:00
2025-02-08 00:00:00+00:00,67.6,26.8,2.423768,2.7697668,270.96646,2025-02-08 00:00:00
2025-02-08 00:00:00+00:00,67.2,26.4,2.2651758,3.0829153,270.57288,2025-02-08 00:00:00
2025-02-08 00:00:00+00:00,67.2,26.8,2.5528803,2.961753,270.6139,2025-02-08 00:00:00
2025-02-09 00:00:00+00:00,67.6,26.4,3.1402626,4.2529917,269.18256,2025-02-09 00:00:00
2025-02-09 00:00:00+00:00,67.6,26.8,3.2602577,4.166505,269.27274,2025-02-09 00:00:00
2025-02-09 00:00:00+00:00,67.2,26.4,2.634159,3.8679514,269.46338,2025-02-09 00:00:00
2025-02-09 00:00:00+00:00,67.2,26.8,2.5689583,3.748536,269.5007,2025-02-09 00:00:00
2025-02-10 00:00:00+00:00,67.6,26.4,4.236515,1.018939,265.92896,2025-02-10 00:00:00
2025-02-10 00:00:00+00:00,67.6,26.8,4.2799263,1.1054258,265.78027,2025-02-10 00:00:00
2025-02-10 00:00:00+00:00,67.2,26.4,3.991352,1.5912809,265.66235,2025-02-10 00:00:00
2025-02-10 00:00:00+00:00,67.2,26.8,4.163273,1.6742582,265.70337,2025-02-10 00:00:00
2025-02-11 00:00:00+00:00,67.6,26.4,4.0714083,2.970521,268.9313,2025-02-11 00:00:00
2025-02-11 00:00:00+00:00,67.6,26.8,4.1364107,2.9160547,268.66498,2025-02-11 00:00:00
2025-02-11 00:00:00+00:00,67.2,26.4,3.9219446,2.8137789,268.02527,2025-02-11 00:00:00
2025-02-11 00:00:00+00:00,67.2,26.8,4.0610476,2.7458696,267.85623,2025-02-11 00:00:00
2025-02-12 00:00:00+00:00,67.6,26.4,4.4139986,-3.656375,273.1048,2025-02-12 00:00:00
2025-02-12 00:00:00+00:00,67.6,26.8,4.5365953,-3.7703772,273.03107,2025-02-12 00:00:00
2025-02-12 00:00:00+00:00,67.2,26.4,4.097142,-3.7510176,273.39496,2025-02-12 00:00:00
2025-02-12 00:00:00+00:00,67.2,26.8,4.240262,-3.8015585,273.39328,2025-02-12 00:00:00
2025-02-13 00:00:00+00:00,67.6,26.4,1.7361059,-3.413477,263.46356,2025-02-13 00:00:00
2025-02-13 00:00:00+00:00,67.6,26.8,1.8780584,-3.423975,263.55063,2025-02-13 00:00:00
2025-02-13 00:00:00+00:00,67.2,26.4,1.3598089,-3.4814548,262.83286,2025-02-13 00:00:00
2025-02-13 00:00:00+00:00,67.2,26.8,1.5856085,-3.4708061,262.9358,2025-02-13 00:00:00
2025-02-14 00:00:00+00:00,67.6,26.4,1.9635477,-2.4450674,261.21347,2025-02-14 00:00:00
2025-02-14 00:00:00+00:00,67.6,26.8,2.0158854,-2.3503675,261.03308,2025-02-14 00:00:00
2025-02-14 00:00:00+00:00,67.2,26.4,1.646882,-2.3053198,261.00635,2025-02-14 00:00:00
2025-02-14 00:00:00+00:00,67.2,26.8,1.7915812,-2.2822943,261.05884,2025-02-14 00:00:00
2025-02-15 00:00:00+00:00,67.6,26.4,-0.06123787,-4.5431004,263.39807,2025-02-15 00:00:00
2025-02-15 00:00:00+00:00,67.6,26.8,0.011573255,-4.586504,263.27902,2025-02-15 00:00:00
2025-02-15 00:00:00+00:00,67.2,26.4,-0.234963,-4.3869343,263.70377,2025-02-15 00:00:00
2025-02-15 00:00:00+00:00,67.2,26.8,-0.09626061,-4.350878,263.62753,2025-02-15 00:00:00
2025-02-16 00:00:00+00:00,67.6,26.4,0.64706993,-0.8474494,262.4608,2025-02-16 00:00:00
2025-02-16 00:00:00+00:00,67.6,26.8,0.820837,-0.68085396,262.09863,2025-02-16 00:00:00
2025-02-16 00:00:00+00:00,67.2,26.4,0.22795677,-0.6059028,261.78183,2025-02-16 00:00:00
2025-02-16 00:00:00+00:00,67.2,26.8,0.49880028,-0.41532815,261.2932,2025-02-16 00:00:00
2025-02-17 00:00:00+00:00,67.6,26.4,0.9247762,0.37387604,258.78943,2025-02-17 00:00:00
2025-02-17 00:00:00+00:00,67.6,26.8,1.0220052,0.38929123,257.9792,2025-02-17 00:00:00
2025-02-17 00:00:00+00:00,67.2,26.4,0.62443745,0.19865173,256.45374,2025-02-17 00:00:00
2025-02-17 00:00:00+00:00,67.2,26.8,0.7807256,0.1542334,255.75795,2025-02-17 00:00:00
2025-02-18 00:00:00+00:00,67.6,26.4,2.6108446,-4.6411295,267.29218,2025-02-18 00:00:00
2025-02-18 00:00:00+00:00,67.6,26.8,2.6437979,-4.642205,267.1282,2025-02-18 00:00:00
2025-02-18 00:00:00+00:00,67.2,26.4,2.648427,-4.5742884,267.34088,2025-02-18 00:00:00
2025-02-18 00:00:00+00:00,67.2,26.8,2.703452,-4.537526,267.29712,2025-02-18 00:00:00
2025-02-19 00:00:00+00:00,67.6,26.4,3.038249,-2.4624863,263.22113,2025-02-19 00:00:00
2025-02-19 00:00:00+00:00,67.6,26.8,3.0629072,-2.6382446,263.2297,2025-02-19 00:00:00
2025-02-19 00:00:00+00:00,67.2,26.4,2.9044065,-2.653679,262.82953,2025-02-19 00:00:00
2025-02-19 00:00:00+00:00,67.2,26.8,2.9858084,-2.7398453,262.8507,2025-02-19 00:00:00
2025-02-20 00:00:00+00:00,67.6,26.4,3.7536507,0.13023727,264.4084,2025-02-20 00:00:00
2025-02-20 00:00:00+00:00,67.6,26.8,3.7395735,0.05473678,264.24094,2025-02-20 00:00:00
2025-02-20 00:00:00+00:00,67.2,26.4,3.7461662,0.2644307,264.00153,2025-02-20 00:00:00
2025-02-20 00:00:00+00:00,67.2,26.8,3.7733898,0.33513993,263.8974,2025-02-20 00:00:00
2025-02-01 00:00:00+00:00,67.6,26.4,0.43665832,-2.3220043,265.37744,2025-02-01 02:00:00
2025-02-01 00:00:00+00:00,67.6,26.8,0.45692962,-2.1686153,264.41666,2025-02-01 02:00:00
2025-02-01 00:00:00+00:00,67.2,26.4,0.5130324,-2.0883312,265.91586,2025-02-01 02:00:00
2025-02-01 00:00:00+00:00,67.2,26.8,0.607099,-2.0149288,264.7089,2025-02-01 02:00:00
2025-02-02 00:00:00+00:00,67.6,26.4,-3.154356,-1.5371237,269.94873,2025-02-02 02:00:00
2025-02-02 00:00:00+00:00,67.6,26.8,-3.2033367,-1.590827,269.86966,2025-02-02 02:00:00
2025-02-02 00:00:00+00:00,67.2,26.4,-3.044241,-1.8437185,270.12524,2025-02-02 02:00:00
2025-02-02 00:00:00+00:00,67.2,26.8,-3.0356388,-1.823081,270.1443,2025-02-02 02:00:00
2025-02-03 00:00:00+00:00,67.6,26.4,-3.0128222,-0.6496792,252.77641,2025-02-03 02:00:00
2025-02-03 00:00:00+00:00,67.6,26.8,-2.980115,-0.7180157,253.14226,2025-02-03 02:00:00
2025-02-03 00:00:00+00:00,67.2,26.4,-3.2232294,-0.95441246,253.81361,2025-02-03 02:00:00
2025-02-03 00:00:00+00:00,67.2,26.8,-3.219945,-1.0870876,253.95772,2025-02-03 02:00:00
2025-02-04 00:00:00+00:00,67.6,26.4,-2.1901398,-0.6048323,242.44571,2025-02-04 02:00:00
2025-02-04 00:00:00+00:00,67.6,26.8,-1.8855438,-0.836949,242.24805,2025-02-04 02:00:00
2025-02-04 00:00:00+00:00,67.2,26.4,-2.1503983,-0.4909712,242.81577,2025-02-04 02:00:00
2025-02-04 00:00:00+00:00,67.2,26.8,-2.0018005,-0.88591444,242.3977,2025-02-04 02:00:00
2025-02-05 00:00:00+00:00,67.6,26.4,-1.289177,5.7517376,258.5716,2025-02-05 02:00:00
2025-02-05 00:00:00+00:00,67.6,26.8,-1.2899857,6.223341,258.1204,2025-02-05 02:00:00
2025-02-05 00:00:00+00:00,67.2,26.4,-1.4969635,6.0619946,258.90234,2025-02-05 02:00:00
2025-02-05 00:00:00+00:00,67.2,26.8,-1.5188713,6.4740276,258.5322,2025-02-05 02:00:00
2025-02-06 00:00:00+00:00,67.6,26.4,3.6618538,1.7431469,266.8363,2025-02-06 02:00:00
2025-02-06 00:00:00+00:00,67.6,26.8,3.6806908,1.5826778,266.9869,2025-02-06 02:00:00
2025-02-06 00:00:00+00:00,67.2,26.4,3.5556755,1.7169552,266.91034,2025-02-06 02:00:00
2025-02-06 00:00:00+00:00,67.2,26.8,3.6167145,1.6027622,267.09396,2025-02-06 02:00:00
2025-02-07 00:00:00+00:00,67.6,26.4,4.4136543,3.895978,276.19336,2025-02-07 02:00:00
2025-02-07 00:00:00+00:00,67.6,26.8,4.3203583,3.9018412,275.87344,2025-02-07 02:00:00
2025-02-07 00:00:00+00:00,67.2,26.4,4.199486,4.114217,275.0939,2025-02-07 02:00:00
2025-02-07 00:00:00+00:00,67.2,26.8,4.299713,4.0762987,274.82877,2025-02-07 02:00:00
2025-02-08 00:00:00+00:00,67.6,26.4,2.0435991,3.1481857,270.37103,2025-02-08 02:00:00
