Dates,FMI - GHI,FMI - DHI,FMI - DNI,FMI - G_POA,FMI - ROOF_TEMP,FMI - NE_MODULE_TEMP,FMI - SW_MODULE_TEMP,FMI - 2M_AIR_TEMP,FMI - AIR_HUM,FMI - 10M_WS,FMI - 10M_WD
2024-01-01 00:00:00,-0.7,-1.2,-0.8,,-9.6,,,-13.8,88.0,1.6,150.0
2024-01-01 00:01:00,-0.9,-1.3,-0.9,,-9.6,,,-13.8,88.0,1.6,150.0
2024-01-01 00:02:00,-0.5,-1.0,-0.6,,-9.6,,,-13.8,88.0,1.6,150.0
2024-01-01 00:03:00,-0.7,-1.1,-0.7,,-9.6,,,-13.8,88.0,1.6,150.0
2024-01-01 00:04:00,-0.8,-1.3,-0.8,,-9.6,,,-13.8,88.0,1.6,149.0
2024-01-01 00:05:00,-0.8,-1.2,-0.8,,-9.6,,,-13.8,88.0,1.7,149.0
2024-01-01 00:06:00,-0.9,-1.3,-0.7,,-9.6,,,-13.8,88.0,1.7,147.0
2024-01-01 00:07:00,-0.5,-1.1,-0.6,,-9.6,,,-13.8,88.0,1.8,146.0
2024-01-01 00:08:00,-0.6,-1.1,-0.6,,-9.6,,,-13.8,88.0,1.8,146.0
2024-01-01 00:09:00,-0.7,-1.1,-0.7,,-9.6,,,-13.9,88.0,1.8,146.0
2024-01-01 00:10:00,-0.9,-1.4,-0.8,,-9.7,,,-13.9,88.0,1.8,147.0
2024-01-01 00:11:00,-0.6,-1.0,-0.6,,-9.7,,,-13.9,88.0,1.8,148.0
2024-01-01 00:12:00,-0.4,-0.9,-0.5,,-9.7,,,-13.9,88.0,1.7,150.0
2024-01-01 00:13:00,-0.5,-0.9,-0.5,,-9.7,,,-13.8,88.0,1.6,151.0
2024-01-01 00:14:00,-0.7,-1.3,-0.8,,-9.7,,,-13.9,88.0,1.6,153.0
2024-01-01 00:15:00,-0.2,-0.7,-0.5,,-9.7,,,-13.9,88.0,1.5,153.0
2024-01-01 00:16:00,0.0,-0.5,-0.3,,-9.7,,,-13.9,88.0,1.4,153.0
2024-01-01 00:17:00,-0.2,-0.6,-0.4,,-9.7,,,-13.9,88.0,1.3,152.0
2024-01-01 00:18:00,-0.1,-0.6,-0.4,,-9.7,,,-13.9,88.0,1.2,152.0
2024-01-01 00:19:00,-0.2,-0.6,-0.5,,-9.7,,,-13.9,88.0,1.1,152.0
2024-01-01 00:20:00,-0.4,-1.0,-0.7,,-9.7,,,-13.9,88.0,1.1,153.0
2024-01-01 00:21:00,-0.3,-1.0,-0.6,,-9.7,,,-13.9,88.0,1.1,153.0
2024-01-01 00:22:00,-0.5,-1.1,-0.7,,-9.8,,,-13.9,88.0,1.2,152.0
2024-01-01 00:23:00,-0.6,-1.0,-0.8,,-9.8,,,-13.9,88.0,1.2,151.0
2024-01-01 00:24:00,-0.7,-1.2,-0.8,,-9.8,,,-14.0,88.0,1.1,150.0
2024-01-01 00:25:00,-0.5,-1.0,-0.8,,-9.8,,,-14.0,88.0,1.1,149.0
2024-01-01 00:26:00,-0.6,-1.1,-0.8,,-9.8,,,-14.0,88.0,1.1,151.0
2024-01-01 00:27:00,-0.6,-1.2,-0.9,,-9.8,,,-14.0,88.0,1.1,153.0
2024-01-01 00:28:00,-0.7,-1.1,-1.0,,-9.8,,,-14.0,88.0,1.1,156.0
2024-01-01 00:29:00,-0.6,-1.1,-1.1,,-9.8,,,-14.0,88.0,1.1,155.0
2024-01-01 00:30:00,-0.7,-1.4,-1.2,,-9.8,,,-14.0,88.0,1.1,155.0
2024-01-01 00:31:00,-0.6,-1.1,-1.0,,-9.8,,,-14.0,88.0,1.0,154.0
2024-01-01 00:32:00,-0.8,-1.3,-1.2,,-9.8,,,-14.0,88.0,0.9,157.0
2024-01-01 00:33:00,-0.5,-1.1,-1.1,,-9.8,,,-14.0,88.0,0.9,162.0
2024-01-01 00:34:00,-0.6,-1.4,-1.4,,-9.8,,,-14.1,88.0,0.9,166.0
2024-01-01 00:35:00,-0.5,-1.2,-1.5,,-9.9,,,-14.1,88.0,0.9,171.0
2024-01-01 00:36:00,-0.8,-1.6,-1.7,,-9.9,,,-14.1,88.0,0.9,173.0
2024-01-01 00:37:00,-0.8,-1.7,-1.9,,-9.9,,,-14.1,87.0,0.9,176.0
2024-01-01 00:38:00,-0.7,-1.4,-1.7,,-9.9,,,-14.2,88.0,0.9,177.0
2024-01-01 00:39:00,-0.7,-1.3,-1.9,,-9.9,,,-14.2,87.0,0.9,179.0
2024-01-01 00:40:00,-0.5,-1.2,-1.7,,-9.9,,,-14.2,88.0,0.9,179.0
2024-01-01 00:41:00,-0.5,-1.3,-1.8,,-9.9,,,-14.2,87.0,0.9,178.0
2024-01-01 00:42:00,-0.6,-1.3,-1.7,,-9.9,,,-14.2,88.0,0.9,173.0
2024-01-01 00:43:00,-0.8,-1.2,-1.6,,-9.9,,,-14.2,88.0,0.9,167.0
2024-01-01 00:44:00,-0.9,-1.3,-1.7,,-9.9,,,-14.2,87.0,0.9,162.0
2024-01-01 00:45:00,-0.8,-1.2,-1.5,,-9.9,,,-14.2,87.0,0.9,158.0
2024-01-01 00:46:00,-0.9,-1.3,-1.3,,-9.9,,,-14.2,87.0,0.9,156.0
2024-01-01 00:47:00,-0.6,-1.1,-1.3,,-10.0,,,-14.3,87.0,0.9,154.0
2024-01-01 00:48:00,-0.7,-1.1,-1.3,,-10.0,,,-14.3,87.0,0.8,151.0
2024-01-01 00:49:00,-0.8,-1.1,-1.3,,-10.0,,,-14.3,87.0,0.8,149.0
2024-01-01 00:50:00,-1.1,-1.4,-1.3,,-10.0,,,-14.3,87.0,0.8,146.0
2024-01-01 00:51:00,-0.7,-1.2,-1.1,,-10.0,,,-14.3,87.0,0.8,146.0
2024-01-01 00:52:00,-0.6,-1.1,-1.1,,-10.0,,,-14.3,87.0,0.8,146.0
2024-01-01 00:53:00,-0.6,-1.1,-1.1,,-10.0,,,-14.4,87.0,0.7,148.0
