Dates,FMI - GHI,FMI - DHI,FMI - DNI,FMI - G_POA,FMI - ROOF_TEMP,FMI - NE_MODULE_TEMP,FMI - SW_MODULE_TEMP,FMI - 2M_AIR_TEMP,FMI - AIR_HUM,FMI - 10M_WS,FMI - 10M_WD
2024-01-01 00:00:00,0.0,,,,,,,-15.8,87.0,,
2024-01-01 00:10:00,0.0,,,,,,,-15.8,87.0,,
2024-01-01 00:20:00,0.0,,,,,,,-15.7,87.0,,
2024-01-01 00:30:00,0.0,,,,,,,-15.8,86.0,,
2024-01-01 00:40:00,0.0,,,,,,,-15.9,87.0,,
2024-01-01 00:50:00,0.0,,,,,,,-16.1,87.0,,
2024-01-01 01:00:00,0.0,,,,,,,-16.0,87.0,,
2024-01-01 01:10:00,0.0,,,,,,,-16.1,87.0,,
2024-01-01 01:20:00,0.0,,,,,,,-16.1,87.0,,
2024-01-01 01:30:00,0.0,,,,,,,-16.2,87.0,,
2024-01-01 01:40:00,0.0,,,,,,,-16.5,87.0,,
2024-01-01 01:50:00,0.0,,,,,,,-16.4,87.0,,
2024-01-01 02:00:00,0.0,,,,,,,-16.4,87.0,,
2024-01-01 02:10:00,0.0,,,,,,,-16.4,87.0,,
2024-01-01 02:20:00,0.0,,,,,,,-16.4,87.0,,
2024-01-01 02:30:00,0.0,,,,,,,-16.4,87.0,,
2024-01-01 02:40:00,0.0,,,,,,,-16.3,87.0,,
2024-01-01 02:50:00,0.0,,,,,,,-16.3,87.0,,
2024-01-01 03:00:00,0.0,,,,,,,-16.4,87.0,,
2024-01-01 03:10:00,0.0,,,,,,,-16.3,87.0,,
2024-01-01 03:20:00,0.0,,,,,,,-16.4,86.0,,
2024-01-01 03:30:00,0.0,,,,,,,-16.4,87.0,,
2024-01-01 03:40:00,0.0,,,,,,,-16.2,86.0,,
2024-01-01 03:50:00,0.0,,,,,,,-16.2,86.0,,
2024-01-01 04:00:00,0.0,,,,,,,-16.1,85.0,,
2024-01-01 04:10:00,0.0,,,,,,,-16.2,86.0,,
2024-01-01 04:20:00,0.0,,,,,,,-16.1,86.0,,
2024-01-01 04:30:00,0.0,,,,,,,-16.1,86.0,,
2024-01-01 04:40:00,0.0,,,,,,,-16.1,85.0,,
2024-01-01 04:50:00,0.0,,,,,,,-16.1,85.0,,
2024-01-01 05:00:00,0.0,,,,,,,-16.1,85.0,,
2024-01-01 05:10:00,0.0,,,,,,,-16.1,85.0,,
2024-01-01 05:20:00,0.0,,,,,,,-16.1,85.0,,
2024-01-01 05:30:00,0.0,,,,,,,-16.0,85.0,,
2024-01-01 05:40:00,0.0,,,,,,,-16.2,85.0,,
2024-01-01 05:50:00,0.0,,,,,,,-16.1,85.0,,
2024-01-01 06:00:00,0.0,,,,,,,-16.2,85.0,,
2024-01-01 06:10:00,0.0,,,,,,,-16.2,85.0,,
2024-01-01 06:20:00,0.0,,,,,,,-16.3,85.0,,
2024-01-01 06:30:00,0.0,,,,,,,-16.3,86.0,,
2024-01-01 06:40:00,0.0,,,,,,,-16.3,85.0,,
2024-01-01 06:50:00,0.0,,,,,,,-16.4,85.0,,
2024-01-01 07:00:00,0.0,,,,,,,-16.4,85.0,,
2024-01-01 07:10:00,0.0,,,,,,,-16.1,85.0,,
2024-01-01 07:20:00,0.0,,,,,,,-16.2,85.0,,
2024-01-01 07:30:00,0.0,,,,,,,-16.2,84.0,,
2024-01-01 07:40:00,1.0,,,,,,,-16.2,84.0,,
2024-01-01 07:50:00,4.0,,,,,,,-16.3,84.0,,
2024-01-01 08:00:00,9.0,,,,,,,-16.4,84.0,,
2024-01-01 08:10:00,16.0,,,,,,,-16.4,84.0,,
2024-01-01 08:20:00,23.0,,,,,,,-16.4,84.0,,
2024-01-01 08:30:00,36.0,,,,,,,-16.4,84.0,,
2024-01-01 08:40:00,45.0,,,,,,,-16.3,84.0,,
2024-01-01 08:50:00,53.0,,,,,,,-16.3,84.0,,
2024-01-01 09:00:00,61.0,,,,,,,-16.2,84.0,,
2024-01-01 09:10:00,69.0,,,,,,,-16.2,83.0,,
2024-01-01 09:20:00,76.0,,,,,,,-16.1,83.0,,
2024-01-01 09:30:00,82.0,,,,,,,-16.0,83.0,,
2024-01-01 09:40:00,87.0,,,,,,,-15.9,83.0,,
2024-01-01 09:50:00,92.0,,,,,,,-15.8,83.0,,
2024-01-01 10:00:00,95.0,,,,,,,-15.7,83.0,,
2024-01-01 10:10:00,97.0,,,,,,,-15.7,83.0,,
2024-01-01 10:20:00,93.0,,,,,,,-15.6,82.0,,
2024-01-01 10:30:00,99.0,,,,,,,-15.6,82.0,,
2024-01-01 10:40:00,97.0,,,,,,,-15.7,82.0,,
2024-01-01 10:50:00,96.0,,,,,,,-15.7,82.0,,
2024-01-01 11:00:00,96.0,,,,,,,-15.6,81.0,,
2024-01-01 11:10:00,94.0,,,,,,,-15.6,81.0,,
2024-01-01 11:20:00,90.0,,,,,,,-15.6,81.0,,
2024-01-01 11:30:00,86.0,,,,,,,-15.7,81.0,,
2024-01-01 11:40:00,81.0,,,,,,,-15.7,81.0,,
2024-01-01 11:50:00,75.0,,,,,,,-15.7,81.0,,
2024-01-01 12:00:00,68.0,,,,,,,-15.6,81.0,,
2024-01-01 12:10:00,62.0,,,,,,,-15.6,81.0,,
2024-01-01 12:20:00,54.0,,,,,,,-15.6,81.0,,
2024-01-01 12:30:00,40.0,,,,,,,-15.6,80.0,,
2024-01-01 12:40:00,31.0,,,,,,,-15.6,81.0,,
2024-01-01 12:50:00,13.0,,,,,,,-15.6,80.0,,
2024-01-01 13:00:00,9.0,,,,,,,-15.7,80.0,,
2024-01-01 13:10:00,6.0,,,,,,,-15.8,81.0,,
2024-01-01 13:20:00,3.0,,,,,,,-15.9,81.0,,
2024-01-01 13:30:00,1.0,,,,,,,-15.9,81.0,,
2024-01-01 13:40:00,0.0,,,,,,,-16.1,81.0,,
2024-01-01 13:50:00,0.0,,,,,,,-16.1,80.0,,
2024-01-01 14:00:00,0.0,,,,,,,-16.2,81.0,,
2024-01-01 14:10:00,0.0,,,,,,,-16.4,81.0,,
2024-01-01 14:20:00,0.0,,,,,,,-16.5,81.0,,
2024-01-01 14:30:00,0.0,,,,,,,-16.6,82.0,,
2024-01-01 14:40:00,0.0,,,,,,,-16.6,82.0,,
2024-01-01 14:50:00,0.0,,,,,,,-16.8,82.0,,
2024-01-01 15:00:00,0.0,,,,,,,-16.9,82.0,,
